,Block,Anesthetists
0,b11_01,13
1,b12_02,13
2,b21_03,14
3,b22_04,12
4,b31_05,15
5,b32_06,13
6,b41_07,14
7,b42_08,13
8,b51_09,13
9,b52_10,13
10,b11_11,15
11,b12_12,12
12,b21_13,14
13,b22_14,10
14,b31_15,12
15,b32_16,13
16,b41_17,14
17,b42_18,12
18,b51_19,14
19,b52_20,13
20,b11_21,14
21,b12_22,12
22,b21_23,14
23,b22_24,12
24,b31_25,15
25,b32_26,13
26,b41_27,15
27,b42_28,12
28,b51_29,15
29,b52_30,12
30,b11_31,13
31,b12_32,12
32,b21_33,15
33,b22_34,13
34,b31_35,15
35,b32_36,12
36,b41_37,14
37,b42_38,12
38,b51_39,14
39,b52_40,13
40,b11_41,15
41,b12_42,13
42,b21_43,14
43,b22_44,12
